model,universe_size,users_evaluated,users_excluded,precision_at_10,precision_at_20,recall_at_10,catalog_coverage
content_clustering,124,25062,0,0.10821961535392229,0.06910861064559891,0.6392937578297884,0.6854838709677419
popularity_baseline,124,25062,0,0.0964049158087942,0.06283816135982763,0.5716540123351231,0.45161290322580644
content_user_profile,124,25062,0,0.03103503311786769,0.018530045487191765,0.18033836403180428,0.7661290322580645
content_course_similarity,124,25062,0,0.02436357832575213,0.01220971989466124,0.1580371789074207,0.8145161290322581
cf_nmf,124,25062,0,0.009719894661240125,0.013021706168701621,0.05393101299254041,0.9354838709677419
cf_classification,124,25062,0,0.008806160721410902,0.010727396057776714,0.04744056960959044,1.0
cf_ann,124,25062,0,0.007265980368685659,0.010958822121139576,0.037891426088696854,0.717741935483871
cf_regression,124,25062,0,0.00173968557976219,0.004889873114675605,0.008873770826128977,0.2661290322580645
cf_knn,124,25062,0,0.0005546245311627165,0.0014284574255845504,0.0044841016501299,1.0
