model,universe_size,users_evaluated,users_excluded,precision_at_10,precision_at_20,recall_at_10,catalog_coverage
content_clustering,124,25062,0,0.10821961535392229,0.06910861064559891,0.6392937578297884,0.6854838709677419
popularity_baseline,124,25062,0,0.0964049158087942,0.06283816135982763,0.5716540123351231,0.45161290322580644
content_user_profile,307,25062,0,0.020441305562205726,0.018530045487191765,0.115611442353123,0.6319218241042345
content_course_similarity,307,25062,0,0.013506503870401405,0.012211714946931608,0.08471438451687432,0.7654723127035831
cf_nmf,124,25062,0,0.009719894661240125,0.013021706168701621,0.05393101299254041,0.9354838709677419
cf_classification,124,25062,0,0.008806160721410902,0.010727396057776714,0.04744056960959044,1.0
cf_ann,124,25062,0,0.007265980368685659,0.010958822121139576,0.037891426088696854,0.717741935483871
cf_regression,124,25062,0,0.00173968557976219,0.004889873114675605,0.008873770826128977,0.2661290322580645
cf_knn,124,25062,0,0.0005546245311627165,0.0014284574255845504,0.0044841016501299,1.0
